9222.17;Charnaux F.;"""Hospice Bernina & Glacier de Cambrena""";Fotografie;Fotografie;"B: 25,5; H: 18";1880 um
9251;Steiner Albert ;Marco e Rosa Hütte ;Fotografie;Fotografie;"B: 24; H: 18";
9359.11;Regli G.;"""Hinter Cröt im Aversthal.""";Album;Fotografie;;1920
9359.13;Regli G.;"""Hinter Juf im Aversthal.""";Album;Fotografie;;1920
9359.14;Regli G.;"""Auf dem Septimerpass.""";Album;Fotografie;;1920
9359.23;Regli G.;"""In der Eishöhle des Morteratschgletschers.""";Album;Fotografie;;1920
9359.33;Regli G.;"""Rast im Dischmathal.""";Album;Fotografie;;1920
9359.34;Regli G.;"""Schwinsfurka, Uebergang von Frauenkirch nach Arosa.""";Album;Fotografie;;1920
9599;Sprecher Hans;"""Auf der Forcellina""";Originalbild;Pastellkreide;"B: 55,4; H: 38,4";1939, Dezember
9642;Steiner Albert ;"""An der Berninabahn. Bergfriede""";Fotografie;Fotografie;"B: 16,7; H: 22";20. Jh.
9718.4;Macco Georg;"""Der Oberalpstock vom Brunipass aus.""";Grafik;Xylografie (Holzstich);;
9807;Töpffer Rodolphe;"""Près de Cedruns""";Grafik;Xylografie (Holzstich);;1844
9898;Walser Gabriel;"""Der Gletscher auf Bernina. in Bünden.""";Grafik;Kupferstich;;1760 vor
9918;Girardet Karl;"""Source du Rhin. Source of the Rhine."" ";Grafik;Lithografie  /  kol;"B: 11,7; H: 8";1877
10440;Hess Ludwig;"""Der Gletscher zu Bernina in Bünten""";Grafik;Kupferstich  /  Radierung;"B: 11,4; H: 8,5";1786
10487;Reist ;"""Die Bovalhütte.""";Grafik;Xylografie (Holzstich);;1879
10516;Gröbli Carlo;"""Ansicht von Zuoz im Engadin.""";Grafik;Rasterdruck;;
10517;Gröbli Carlo;"""Der Rosegg-Gletscher mit dem Piz Corvatsch. / Der Morteratsch-Gletscher mit dem Piz Bernina.""";Grafik;Stahlstich;"B: 15; H: 8,5";1866
10541;Weber Johannes;"""Der Roseg-Gletscher / Le Glacier du Roseg.""";Grafik;Xylografie (Holzstich);"B: 14,7; H: 9";1878
10682;Compton Edward Theodore;"""Auf dem Morteratschgletscher""";Grafik;Xylografie (Holzstich);"B: 34; H: 23 ";1890
10686;Platz Ernst Heinrich;"""Eine Begegnung.""";Grafik;Xylografie (Holzstich);"B: 32; H: 19,2";1897
11167;Chapuy Nicolas-Marie-Joseph;"""Source du Rhin, au Glacier du val Cornera""";Grafik;Lithografie;;19. Jh. erste Hälfte
11411;Bleuler Johann Ludwig (Louis);"""Source du Rhin intermédiaire nommé Froda.""";Grafik;Umrissradierung  /  gouachiert;;1825 um
11443;Conradin Christian Friedrich;"""Zapport- Gletscher""";Grafik;Lithografie  /  kol;;
11589;Pingret Edouard Henri Théophile;"""Source du Rhin.""  ";Grafik;Lithografie;;1826 um
11632;Meyer-Cassel Hans;"""Engadiner Bergführer.""";Druckgrafik;Rasterdruck  /  nach Bleistiftzeichnung;;1899
11648;M ;Bündnerischer Schützenverband. Schiessausweis Sektionswettschiessen Chur, 30. V. 1935;Akzidenzdruck;Rasterdruck  /  farbig;;1935, 30. Mai
11875;Osswald Fritz;"""Piz Rosetsch""";Originalbild;Öl;"B: 77,5; H: 70,5";1919
12650;Popp Thomas;"""Piz Bernina""";Fotografie;Fotografie;"B: 100; H: 80";2006
12799;Gröbli Carlo;Stuls;Fotografie;Fotografie;;
12800;Gröbli Carlo;Laget, Tinizong;Fotografie;Fotografie;;
12801;Gröbli Carlo;Muot sur Preda;Fotografie;Fotografie;;
12802;Gröbli Carlo;Alp da Tisch ? / Bergün;Fotografie;Fotografie;;
12803;Gröbli Carlo;Aelahütte;Fotografie;Fotografie;;20. Jh.
12804;Gröbli Carlo;Latsch bei Bergün;Fotografie;Fotografie;;
12806;Gröbli Carlo;Latsch bei Bergün;Fotografie;Fotografie;;
13073;;Kurhaus Alvaneu-Bad Kanton Graubünden;Ansichtskarte;Druck;;1940, 28. Dezember
13648;;Gämsjäger und Bergführer Schaedler, Arosa;Ansichtskarte;Druck;;
13717;Platz Ernst;ohne Titel;Ansichtskarte;Druck;;1908, 16. Januar
13866;;"Schlitteln im Sommer. Restaurant ""Zum ewigen Schnee"" Chr de Chr. Grass.";Ansichtskarte;Druck;;1899, 25. August
13883;;Berninabahn - Schneepflug auf Alp Grüm;Ansichtskarte;Druck;;1920, 24. Dezember
13900;;Sassal Masone mit Palü-Gletscher;Ansichtskarte;Druck;;1926, 15. August
13913;;ohne Titel;Ansichtskarte;Druck;;1990, 16. September
13917;;Blick auf Palügletscher vom Hotel-Restaurant Alp Grüm;Ansichtskarte;Druck;;1917, 4. Juli
13931;;Hotel Restaurant Belvédète. Alp Grüm 2189 m ü. M. Blick auf Palügletscher;Ansichtskarte;Druck;;1929, 13. August
13933;Zuppinger Ernst Theodor;Diavolezza-Hütte (2977 m) mit Piz Palü (3912 m);Ansichtskarte;Druck;;1943, 29. Dezember
14435;Nolde (Hansen) Emil;Die schlafenden Schwestern im Bündnerland;Ansichtskarte;Druck;;1898, 22. September
14644;;Skihaus Schwendi, Conters i/Prtg.;Ansichtskarte;Druck;;1938, 2. Januar
14820;;Gruss aus Chur;Ansichtskarte;Druck;;
15375;Gaberell Jean;ohne Titel;Ansichtskarte;Druck;;
16484;;Gruss vom Flüela-Hospiz;Ansichtskarte;Druck;;
16680;Bernhardt ;Weissfluhjoch-Parsenn;Ansichtskarte;Druck;;
16822;Rudolf Max;Säumer nach der Weissfluhhütte 2848 m.;Ansichtskarte;Druck;;1933, 23. März
16836;Trauffer Jakob;Me cha nid gnue luege;Ansichtskarte;Druck;;
17515;Maggi Moriz;Bündner Bergführer und Jäger;Ansichtskarte;Druck;;1907, 7. August
18205;;Klubhütte Segnes-Pass;Ansichtskarte;Druck;;1919, 14. August
18227;;Gruss v. der Segnesclubhütte.;Ansichtskarte;Druck;;1899, 5. August
18288;Platz Ernst;ohne Titel;Ansichtskarte;Druck;;1907, 9. November
18821;Büchi Albert;Silvreta Gletscher;Ansichtskarte;Druck;;1902, 15. August
18855;;Silvrettahaus;Ansichtskarte;Druck;;
18900;;Silvretta: Erste Hütte des S A C . Erbaut 1865;Ansichtskarte;Druck;;
18901;;Silvretta-Haus u. Hütte Sekt. St. Gallen S A C. 2340 m/M;Ansichtskarte;Druck;;
19375;Meisser Christian Ferdinand;Lenzerheide. Wegpartie zum Lenzerhorn;Ansichtskarte;Druck;;1903, 6. September
19376;;Lenzerheide, Rast auf Sporz;Ansichtskarte;Druck;;1913, 3. März
19683;;ohne Titel;Ansichtskarte;Druck;;1971
20123;Decurtins I.;Medelserhütte S. Uto S. a. c. 2540 m. ü. M.;Ansichtskarte;Druck;;
20270;;Gruss von Piz Mundaun (2067 m ü. M.) - Ilanz;Ansichtskarte;Druck;;1923, 10. August
20417;Koch U. B.;Val Faller / Oberhalbstein, Graubünden;Ansichtskarte;Druck;;1968, 7. Oktober
20722;;Baumberger Denkmal auf dem Calmot 2313m;Ansichtskarte;Druck;;
20738;Gaberell Jean;Oberalp, Seebaracken und Fischerhütten;Ansichtskarte;Druck;;1932, 10. Januar
20752;;Bündneralpen-Oberalp-Pass und Gotthard von der Furka-Passhöhe (2445 m) gesehen;Ansichtskarte;Druck;;1907, 25. Mai
21126;;Schutzhütte auf der Panixerpasshöhe 2407 m;Ansichtskarte;Druck;;
21348;Nolde (Hansen) Emil;Die schöne Bernina und der alte Morteratsch;Ansichtskarte;Druck;;1899, 4. März
21388;Meisser Christian Ferdinand;Schweiz Tschiervagletscher, Piz Roseg & Piz Bernina;Ansichtskarte;Druck;;1917, 31. Januar
21397;;Morteratschgletscher;Ansichtskarte;Druck;;1903
